Column,NullCount,TotalRows,NullPercentage
id,0,45000000,0.0
last_login,0,45000000,0.0
user_name,0,45000000,0.0
fullname,0,45000000,0.0
email,0,45000000,0.0
age,0,45000000,0.0
income,0,45000000,0.0
gender,0,45000000,0.0
country,0,45000000,0.0
address,0,45000000,0.0
purchase_history,0,45000000,0.0
is_active,0,45000000,0.0
registration_date,0,45000000,0.0
phone_number,0,45000000,0.0
login_history,0,45000000,0.0
purchase_history_parsed,0,45000000,0.0
purchase_count,0,45000000,0.0
login_history_parsed,0,45000000,0.0
login_count,0,45000000,0.0
days_since_login,0,45000000,0.0
